,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
327,Ethan Nwaneri,ENG,"MF,FW",Arsenal,17-271,2007,1.2,4,3.19,2,1,1,0,0,0,1,0.80,1,0,0,0,0,0
328,Christian Nørgaard,DEN,MF,Brentford,30-282,1994,11.8,20,1.69,16,0,0,2,2,0,7,0.59,6,0,0,0,1,0
329,Jake O'Brien,IRL,DF,Everton,23-216,2001,0.4,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
330,Matt O'Riley,DEN,MF,Brighton,24-026,2000,2.5,8,3.27,6,2,0,0,0,0,1,0.41,1,0,0,0,0,0
331,Dara O'Shea,IRL,DF,Ipswich Town,25-288,1999,12.7,8,0.63,6,0,0,1,0,1,1,0.08,1,0,0,0,0,0
332,Wilson Odobert,FRA,FW,Tottenham,20-019,2004,1.8,4,2.24,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
333,Chiedozie Ogbene,IRL,FW,Ipswich Town,27-230,1997,2.6,3,1.13,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
334,Caleb Okoli,ITA,DF,Leicester City,23-157,2001,8.7,2,0.23,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
335,Robin Olsen,SWE,GK,Aston Villa,34-344,1990,0.5,1,2.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
336,Amadou Onana,BEL,MF,Aston Villa,23-123,2001,8.0,13,1.62,8,1,0,4,0,0,2,0.25,1,0,0,1,0,0
337,André Onana,CMR,GK,Manchester Utd,28-259,1996,16.0,4,0.25,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
338,Paul Onuachu,NGA,FW,Southampton,30-203,1994,1.3,1,0.79,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
339,Frank Onyeka,NGA,MF,Brentford,26-351,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
340,Stefan Ortega,GER,GK,Manchester City,32-041,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
341,William Osula,DEN,"FW,MF",Newcastle Utd,21-135,2003,0.3,1,3.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
342,Dango Ouattara,BFA,"FW,DF",Bournemouth,22-310,2002,6.8,24,3.53,21,0,0,3,0,0,2,0.29,1,0,0,1,0,0
343,Cole Palmer,ENG,MF,Chelsea,22-225,2002,15.4,88,5.71,58,8,7,10,4,1,10,0.65,7,0,1,1,1,0
344,Emerson Palmieri,ITA,DF,West Ham,30-136,1994,12.3,25,2.04,13,9,0,2,1,0,1,0.08,0,1,0,0,0,0
345,Lucas Paquetá,BRA,MF,West Ham,27-112,1997,12.5,46,3.69,37,2,1,3,3,0,5,0.40,2,0,0,2,1,0
346,Thomas Partey,GHA,"MF,DF",Arsenal,31-187,1993,13.5,21,1.55,16,2,0,1,1,1,6,0.44,3,2,0,0,1,0
347,Nathan Patterson,SCO,DF,Everton,23-062,2001,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
348,Andreas Pereira,BRA,MF,Fulham,28-351,1996,11.2,62,5.52,33,25,0,2,2,0,2,0.18,1,0,0,0,1,0
349,Ricardo Pereira,POR,DF,Leicester City,31-072,1993,1.6,2,1.23,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
350,Kalvin Phillips,ENG,MF,Ipswich Town,29-015,1995,6.0,10,1.68,8,1,0,1,0,0,2,0.34,2,0,0,0,0,0
351,Jaden Philogene Bidace,ENG,"FW,MF",Aston Villa,22-313,2002,3.7,5,1.36,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0
352,Jordan Pickford,ENG,GK,Everton,30-285,1994,15.0,4,0.27,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
353,Ethan Pinnock,JAM,DF,Brentford,31-202,1993,16.0,19,1.19,12,4,0,2,1,0,0,0.00,0,0,0,0,0,0
354,Daniel Podence,POR,"MF,FW",Wolves,29-057,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
355,Alfie Pond,ENG,DF,Wolves,20-291,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
356,Nick Pope,ENG,GK,Newcastle Utd,32-242,1992,15.0,3,0.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
357,Pedro Porro,ESP,DF,Tottenham,25-095,1999,15.0,49,3.27,33,8,1,4,3,0,3,0.20,1,1,1,0,0,0
358,Jarell Quansah,ENG,DF,Liverpool,21-323,2003,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
359,Aaron Ramsdale,ENG,GK,Southampton,26-217,1998,9.0,1,0.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
360,Jacob Ramsey,ENG,"FW,MF",Aston Villa,23-203,2001,7.0,27,3.84,20,0,4,1,2,0,3,0.43,3,0,0,0,0,0
361,Marcus Rashford,ENG,"FW,MF",Manchester Utd,27-047,1997,10.9,29,2.67,24,1,2,2,0,0,1,0.09,1,0,0,0,0,0
362,David Raya,ESP,GK,Arsenal,29-093,1995,16.0,2,0.12,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
363,Harrison Reed,ENG,MF,Fulham,29-325,1995,0.7,1,1.48,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
364,Bobby Reid,JAM,"FW,MF",Leicester City,31-319,1993,2.7,5,1.87,2,0,0,2,1,0,2,0.75,0,0,0,1,1,0
365,Chadi Riad,MAR,DF,Crystal Palace,21-183,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
366,Declan Rice,ENG,MF,Arsenal,25-338,1999,12.9,44,3.40,24,16,2,1,1,0,3,0.23,1,2,0,0,0,0
367,Chris Richards,USA,DF,Crystal Palace,24-264,2000,3.9,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
368,Richarlison,BRA,FW,Tottenham,27-221,1997,1.0,3,2.97,2,0,0,0,1,0,1,0.99,1,0,0,0,0,0
369,Andrew Robertson,SCO,DF,Liverpool,30-281,1994,11.6,30,2.59,25,4,0,0,0,1,0,0.00,0,0,0,0,0,0
370,Antonee Robinson,USA,DF,Fulham,27-131,1997,16.0,34,2.12,33,0,1,0,0,0,7,0.44,7,0,0,0,0,0
371,Rodri,ESP,MF,Manchester City,28-178,1996,0.7,2,2.77,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
372,Guido Rodríguez,ARG,MF,West Ham,30-249,1994,9.1,9,0.98,7,0,0,2,0,0,0,0.00,0,0,0,0,0,0
373,Mads Roerslev,DEN,DF,Brentford,25-176,1999,6.0,13,2.16,12,0,1,0,0,0,1,0.17,1,0,0,0,0,0
374,Morgan Rogers,ENG,"MF,FW",Aston Villa,22-144,2002,14.6,50,3.43,38,0,4,6,2,0,4,0.27,4,0,0,0,0,0
375,Cristian Romero,ARG,DF,Tottenham,26-234,1998,10.8,16,1.48,13,0,0,3,0,0,2,0.18,2,0,0,0,0,0
376,Georginio Rutter,FRA,"FW,MF",Brighton,22-241,2002,10.3,37,3.60,20,0,4,7,5,1,4,0.39,2,0,1,1,0,0
377,José Sá,POR,GK,Wolves,31-335,1993,9.0,2,0.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
378,Bukayo Saka,ENG,"FW,MF",Arsenal,23-103,2001,13.8,89,6.43,52,17,9,8,3,0,21,1.52,12,5,2,1,1,0
379,Mohamed Salah,EGY,FW,Liverpool,32-185,1992,14.6,63,4.31,44,1,8,5,3,2,10,0.68,9,0,0,1,0,0
380,William Saliba,FRA,DF,Arsenal,23-268,2001,14.3,11,0.77,10,0,0,0,0,1,0,0.00,0,0,0,0,0,0
381,Robert Sánchez,ESP,GK,Chelsea,27-029,1997,15.0,2,0.13,1,1,0,0,0,0,1,0.07,0,1,0,0,0,0
382,Jadon Sancho,ENG,FW,Chelsea,24-267,2000,6.4,32,4.97,28,0,2,0,2,0,9,1.40,8,0,0,0,1,0
383,Ibrahim Sangaré,CIV,MF,Nott'ham Forest,27-015,1997,2.4,4,1.70,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
384,Pablo Sarabia,ESP,"MF,FW",Wolves,32-220,1992,2.0,5,2.49,1,3,1,0,0,0,1,0.50,0,0,1,0,0,0
385,Jeremy Sarmiento,ECU,MF,Brighton,22-184,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
386,Ismaila Sarr,SEN,"MF,FW",Crystal Palace,26-296,1998,10.2,42,4.13,27,0,5,4,6,0,4,0.39,1,0,1,0,2,0
387,Sávio,BRA,"FW,MF",Manchester City,20-251,2004,7.9,52,6.56,36,2,6,2,5,1,5,0.63,2,0,1,0,1,1
388,Oliver Scarles,ENG,DF,West Ham,19-005,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
389,Kevin Schade,GER,"FW,MF",Brentford,23-020,2001,7.5,14,1.86,6,0,2,3,2,1,4,0.53,2,0,0,2,0,0
390,Fabian Schär,SUI,DF,Newcastle Utd,32-363,1991,13.3,10,0.75,8,0,0,0,1,1,1,0.08,1,0,0,0,0,0
391,Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,31-360,1992,1.0,6,5.81,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0
392,Alex Scott,ENG,MF,Bournemouth,21-118,2003,2.9,11,3.75,8,0,0,0,1,2,0,0.00,0,0,0,0,0,0
393,Matz Sels,BEL,GK,Nott'ham Forest,32-295,1992,16.0,3,0.19,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
394,Nélson Semedo,POR,DF,Wolves,31-031,1993,12.7,20,1.58,15,1,2,0,1,1,2,0.16,2,0,0,0,0,0
395,Antoine Semenyo,GHA,FW,Bournemouth,24-345,2000,14.4,58,4.02,39,0,8,7,3,1,4,0.28,2,0,1,0,1,0
396,Marcos Senesi,ARG,DF,Bournemouth,27-221,1997,10.2,16,1.57,16,0,0,0,0,0,1,0.10,1,0,0,0,0,0
397,Ryan Sessegnon,ENG,MF,Fulham,24-213,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
398,Luke Shaw,ENG,DF,Manchester Utd,29-158,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
399,Bernardo Silva,POR,"MF,FW",Manchester City,30-129,1994,14.3,57,3.99,51,1,4,0,1,0,7,0.49,7,0,0,0,0,0
400,Jota Silva,POR,"FW,MF",Nott'ham Forest,25-138,1999,5.6,23,4.12,17,0,1,2,3,0,3,0.54,2,0,0,0,1,0
401,Eric da Silva Moreira,GER,"MF,DF",Nott'ham Forest,18-228,2006,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
402,Jahmai Simpson-Pusey,ENG,DF,Manchester City,19-043,2005,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
403,Luis Sinisterra,COL,"FW,MF",Bournemouth,25-183,1999,2.3,13,5.57,10,0,1,2,0,0,1,0.43,1,0,0,0,0,0
404,Oliver Skipp,ENG,MF,Leicester City,24-092,2000,7.1,7,0.99,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0
405,William Smallbone,IRL,MF,Southampton,24-300,2000,2.7,9,3.36,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0
406,Adam Smith,ENG,DF,Bournemouth,33-232,1991,11.0,11,1.00,8,1,1,0,0,1,0,0.00,0,0,0,0,0,0
407,Emile Smith Rowe,ENG,MF,Fulham,24-142,2000,12.1,40,3.30,30,0,2,5,0,3,8,0.66,6,0,1,0,0,1
408,Dominic Solanke,ENG,FW,Tottenham,27-094,1997,12.8,25,1.96,19,0,0,4,1,1,7,0.55,5,0,0,1,1,0
409,Carlos Soler,ESP,MF,West Ham,27-350,1997,6.7,29,4.30,18,5,1,3,1,1,1,0.15,1,0,0,0,0,0
410,Ramón Sosa,PAR,"FW,MF",Nott'ham Forest,25-108,1999,1.7,11,6.60,9,0,2,0,0,0,0,0.00,0,0,0,0,0,0
411,Tomáš Souček,CZE,MF,West Ham,29-294,1995,11.9,26,2.18,19,0,0,4,2,1,2,0.17,1,0,0,0,1,0
412,Boubakary Soumaré,FRA,MF,Leicester City,25-294,1999,5.3,8,1.52,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0
413,Djed Spence,ENG,DF,Tottenham,24-130,2000,1.6,5,3.19,3,0,1,1,0,0,3,1.91,2,0,1,0,0,0
414,Jay Stansfield,ENG,MF,Fulham,22-023,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
415,Jason Steele,ENG,GK,Brighton,34-121,1990,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
416,Jack Stephens,ENG,DF,Southampton,30-325,1994,8.8,10,1.13,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0
417,Raheem Sterling,ENG,"MF,FW",Arsenal,30-009,1994,1.6,7,4.26,5,0,2,0,0,0,1,0.61,1,0,0,0,0,0
418,Ross Stewart,SCO,"FW,MF",Southampton,28-159,1996,1.5,2,1.36,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
419,John Stones,ENG,"DF,MF",Manchester City,30-203,1994,3.2,5,1.57,5,0,0,0,0,0,1,0.31,1,0,0,0,0,0
420,Jørgen Strand Larsen,NOR,FW,Wolves,24-315,2000,14.6,20,1.37,15,1,0,2,2,0,3,0.21,3,0,0,0,0,0
421,Yukinari Sugawara,JPN,DF,Southampton,24-172,2000,8.8,25,2.83,19,4,1,1,0,0,1,0.11,1,0,0,0,0,0
422,Kamaldeen Sulemana,GHA,"FW,MF",Southampton,22-306,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
423,Crysencio Summerville,NED,"FW,MF",West Ham,23-048,2001,6.7,25,3.71,17,3,2,0,3,0,1,0.15,1,0,0,0,0,0
424,Sammie Szmodics,IRL,FW,Ipswich Town,29-084,1995,8.3,8,0.97,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0
425,Dominik Szoboszlai,HUN,MF,Liverpool,24-053,2000,11.4,44,3.85,35,3,1,3,1,1,3,0.26,3,0,0,0,0,0
426,James Tarkowski,ENG,DF,Everton,32-028,1992,14.9,22,1.48,17,2,0,3,0,0,1,0.07,1,0,0,0,0,0
427,Marcus Tavernier,ENG,"FW,MF",Bournemouth,25-270,1999,12.7,61,4.82,43,10,3,2,3,0,8,0.63,4,3,0,0,1,0
428,Charlie Taylor,ENG,DF,Southampton,31-090,1993,2.5,2,0.81,2,0,0,0,0,0,1,0.41,1,0,0,0,0,0
429,Jack Taylor,IRL,MF,Ipswich Town,26-177,1998,3.4,17,4.98,12,1,1,2,0,1,1,0.29,1,0,0,0,0,0
430,Kenny Tete,NED,DF,Fulham,29-069,1995,14.0,23,1.64,16,0,2,3,2,0,3,0.21,3,0,0,0,0,0
431,Thiago,BRA,FW,Brentford,23-174,2001,1.5,2,1.36,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
432,Luke Thomas,ENG,DF,Leicester City,23-190,2001,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
433,Youri Tielemans,BEL,MF,Aston Villa,27-224,1997,15.3,60,3.93,34,22,0,2,1,1,6,0.39,3,3,0,0,0,0
434,Jurriën Timber,NED,DF,Arsenal,23-183,2001,12.6,26,2.07,23,0,2,0,1,0,2,0.16,2,0,0,0,0,0
435,Jean-Clair Todibo,FRA,DF,West Ham,24-353,1999,7.2,4,0.55,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
436,Harry Toffolo,ENG,DF,Nott'ham Forest,29-120,1995,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
437,Takehiro Tomiyasu,JPN,DF,Arsenal,26-042,1998,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
438,Sandro Tonali,ITA,MF,Newcastle Utd,24-223,2000,8.2,18,2.18,11,1,1,2,2,1,3,0.36,3,0,0,0,0,0
439,Pau Torres,ESP,DF,Aston Villa,27-336,1997,15.0,10,0.67,8,0,0,2,0,0,2,0.13,1,0,0,1,0,0
440,Conor Townsend,ENG,MF,Ipswich Town,31-288,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
441,Adama Traoré,ESP,"FW,MF",Fulham,28-327,1996,9.1,37,4.06,29,0,3,3,0,2,3,0.33,3,0,0,0,0,0
442,Mark Travers,IRL,GK,Bournemouth,25-213,1999,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
443,Ryan Trevitt,ENG,MF,Brentford,21-280,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
444,Kieran Trippier,ENG,DF,Newcastle Utd,34-089,1990,3.6,16,4.47,9,6,0,1,0,0,0,0.00,0,0,0,0,0,0
445,Leandro Trossard,BEL,FW,Arsenal,30-013,1994,9.4,33,3.49,27,1,2,1,1,1,2,0.21,2,0,0,0,0,0
446,Kostas Tsimikas,GRE,DF,Liverpool,28-219,1996,2.6,8,3.10,5,3,0,0,0,0,1,0.39,1,0,0,0,0,0
447,Axel Tuanzebe,COD,DF,Ipswich Town,27-033,1997,8.6,6,0.70,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
448,Destiny Udogie,ITA,DF,Tottenham,22-019,2002,14.5,25,1.73,23,0,0,1,0,1,3,0.21,2,0,0,0,0,1
449,Manuel Ugarte Ribeiro,URU,MF,Manchester Utd,23-250,2001,6.6,14,2.12,11,0,0,0,1,2,0,0.00,0,0,0,0,0,0
450,Lesley Ugochukwu,FRA,MF,Southampton,20-266,2004,2.3,3,1.28,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
451,Enes Ünal,TUR,"FW,MF",Bournemouth,27-221,1997,2.5,6,2.41,3,0,0,2,1,0,2,0.80,1,0,0,0,1,0
452,Virgil van Dijk,NED,DF,Liverpool,33-162,1991,15.0,18,1.20,14,0,0,1,1,2,3,0.20,3,0,0,0,0,0
453,Jamie Vardy,ENG,FW,Leicester City,37-341,1987,13.2,22,1.66,15,0,3,1,3,0,8,0.60,4,0,2,0,2,0
454,Renato Veiga,POR,"DF,MF",Chelsea,21-141,2003,2.0,1,0.49,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
455,Joël Veltman,NED,DF,Brighton,32-337,1992,10.6,10,0.94,5,1,1,1,2,0,1,0.09,0,1,0,0,0,0
456,Micky van de Ven,NED,DF,Tottenham,23-242,2001,8.8,9,1.03,6,0,0,2,1,0,2,0.23,2,0,0,0,0,0
457,Bart Verbruggen,NED,GK,Brighton,22-121,2002,14.0,2,0.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
458,Jannik Vestergaard,DEN,DF,Leicester City,32-136,1992,7.2,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
459,Guglielmo Vicario,ITA,GK,Tottenham,28-071,1996,12.0,3,0.25,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
460,Kyle Walker,ENG,DF,Manchester City,34-203,1990,9.7,15,1.54,15,0,0,0,0,0,0,0.00,0,0,0,0,0,0
461,Kyle Walker-Peters,ENG,DF,Southampton,27-248,1997,13.9,22,1.58,11,1,3,3,2,2,4,0.29,3,0,1,0,0,0
462,Christian Walton,ENG,GK,Ipswich Town,29-038,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
463,Aaron Wan-Bissaka,ENG,DF,West Ham,27-021,1997,14.0,44,3.13,34,2,4,2,0,2,3,0.21,2,0,0,1,0,0
464,Danny Ward,WAL,GK,Leicester City,31-178,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
465,James Ward-Prowse,ENG,MF,West Ham,30-046,1994,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
466,James Ward-Prowse,ENG,MF,Nott'ham Forest,30-046,1994,4.2,9,2.14,5,4,0,0,0,0,1,0.24,0,1,0,0,0,0
467,Ollie Watkins,ENG,FW,Aston Villa,28-353,1995,12.5,30,2.40,18,0,3,5,4,0,5,0.40,2,0,1,1,1,0
468,Adam Webster,ENG,DF,Brighton,29-348,1995,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
469,Danny Welbeck,ENG,FW,Brighton,34-021,1990,12.4,29,2.35,19,0,3,1,6,0,4,0.32,4,0,0,0,0,0
470,Timo Werner,GER,"FW,MF",Tottenham,28-286,1996,4.4,14,3.13,11,0,1,1,1,0,3,0.67,3,0,0,0,0,0
471,Adam Wharton,ENG,MF,Crystal Palace,20-198,2004,6.9,26,3.77,20,4,0,1,0,1,1,0.14,1,0,0,0,0,0
472,Ben White,ENG,DF,Arsenal,27-070,1997,7.7,8,1.04,8,0,0,0,0,0,1,0.13,1,0,0,0,0,0
473,Mats Wieffer,NED,MF,Brighton,25-031,1999,4.6,12,2.59,12,0,0,0,0,0,2,0.43,2,0,0,0,0,0
474,Neco Williams,WAL,DF,Nott'ham Forest,23-248,2001,7.2,16,2.22,13,0,0,2,1,0,1,0.14,1,0,0,0,0,0
475,Joe Willock,ENG,"MF,FW",Newcastle Utd,25-119,1999,5.1,21,4.11,19,0,1,1,0,0,2,0.39,2,0,0,0,0,0
Rk,Player,,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
476,Callum Wilson,ENG,"FW,MF",Newcastle Utd,32-294,1992,0.7,1,1.48,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
477,Harry Wilson,WAL,"FW,MF",Fulham,27-270,1997,3.7,6,1.60,3,2,0,0,1,0,0,0.00,0,0,0,0,0,0
478,Harry Winks,ENG,MF,Leicester City,28-319,1996,9.6,26,2.71,19,7,0,0,0,0,3,0.31,2,1,0,0,0,0
479,Yoane Wissa,COD,FW,Brentford,28-105,1996,10.6,25,2.35,20,0,1,1,3,0,5,0.47,5,0,0,0,0,0
480,Chris Wood,NZL,FW,Nott'ham Forest,33-010,1991,13.7,15,1.09,11,0,1,2,0,1,0,0.00,0,0,0,0,0,0
481,Nathan Wood-Gordon,ENG,DF,Southampton,22-200,2002,2.8,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
482,Luke Woolfenden,ENG,DF,Ipswich Town,26-057,1998,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
483,Yehor Yarmoliuk,UKR,MF,Brentford,20-291,2004,4.4,8,1.82,7,0,1,0,0,0,2,0.46,2,0,0,0,0,0
484,Ryan Yates,ENG,MF,Nott'ham Forest,27-026,1997,13.2,26,1.96,18,0,0,6,1,1,1,0.08,0,0,0,1,0,0
485,Leny Yoro,FRA,DF,Manchester Utd,19-034,2005,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
486,Ashley Young,ENG,DF,Everton,39-161,1985,12.5,30,2.40,25,3,0,0,1,1,5,0.40,4,0,0,0,0,1
487,Illia Zabarnyi,UKR,DF,Bournemouth,22-107,2002,16.0,15,0.94,13,1,0,0,0,1,0,0.00,0,0,0,0,0,0
488,Oleksandr Zinchenko,UKR,"DF,MF",Arsenal,28-002,1996,2.6,6,2.27,5,0,0,1,0,0,1,0.38,1,0,0,0,0,0
489,Joshua Zirkzee,NED,"FW,MF",Manchester Utd,23-209,2001,6.7,19,2.82,18,0,0,1,0,0,2,0.30,1,0,0,1,0,0
490,Martin Ødegaard,NOR,MF,Arsenal,26-000,1998,8.1,40,4.97,36,1,2,1,0,0,7,0.87,7,0,0,0,0,0
