,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Max Aarons,ENG,DF,Bournemouth,24-348,2000,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
2,Tyler Adams,USA,MF,Bournemouth,25-307,1999,4.1,0,5,1,20.0,1.22,0.24,0.00,0.00,17.2,0,0,0,1.1,1.1,0.21,-1.1,-1.1
3,Tosin Adarabioyo,ENG,DF,Chelsea,27-084,1997,3.9,0,4,0,0.0,1.02,0.00,0.00,0,9.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
4,Simon Adingra,CIV,"FW,MF",Brighton,22-351,2002,3.9,1,8,3,37.5,2.06,0.77,0.13,0.33,13.6,0,0,0,0.6,0.6,0.08,+0.4,+0.4
5,Asher Agbinone,ENG,MF,Crystal Palace,19-080,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,0,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0
6,Ola Aina,NGA,DF,Nott'ham Forest,28-070,1996,15.3,1,4,1,25.0,0.26,0.07,0.25,1.00,25.9,0,0,0,0.1,0.1,0.03,+0.9,+0.9
7,Rayan Aït-Nouri,ALG,DF,Wolves,23-194,2001,15.2,3,16,4,25.0,1.05,0.26,0.19,0.75,14.6,0,0,0,1.3,1.3,0.09,+1.7,+1.7
8,Kristoffer Ajer,NOR,DF,Brentford,26-244,1998,7.2,0,1,1,100.0,0.14,0.14,0.00,0.00,6.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3
9,Manuel Akanji,SUI,DF,Manchester City,29-151,1995,11.2,0,8,1,12.5,0.72,0.09,0.00,0.00,18.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3
10,Nathan Aké,NED,DF,Manchester City,29-303,1995,3.3,0,2,0,0.0,0.60,0.00,0.00,0,12.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
11,Carlos Alcaraz,ARG,MF,Southampton,22-017,2002,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
12,Trent Alexander-Arnold,ENG,DF,Liverpool,26-071,1998,11.6,0,13,2,15.4,1.13,0.17,0.00,0.00,25.2,2,0,0,0.5,0.5,0.04,-0.5,-0.5
13,Alisson,BRA,GK,Liverpool,32-076,1992,6.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
14,Miguel Almirón,PAR,FW,Newcastle Utd,30-311,1994,1.4,0,5,1,20.0,3.66,0.73,0.00,0.00,15.3,0,0,0,0.5,0.5,0.09,-0.5,-0.5
15,Edson Álvarez,MEX,MF,West Ham,27-054,1997,7.8,0,6,0,0.0,0.77,0.00,0.00,0,27.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
16,Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,18-152,2006,0.3,0,1,0,0.0,3.21,0.00,0.00,0,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0
17,Joachim Andersen,DEN,DF,Crystal Palace,28-200,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0
18,Joachim Andersen,DEN,DF,Fulham,28-200,1996,7.7,0,8,2,25.0,1.04,0.26,0.00,0.00,18.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
19,Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,22-041,2002,10.1,0,19,4,21.1,1.89,0.40,0.00,0.00,19.2,0,0,0,0.9,0.9,0.05,-0.9,-0.9
20,André,BRA,MF,Wolves,23-154,2001,8.1,0,2,1,50.0,0.25,0.12,0.00,0.00,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
21,Michail Antonio,JAM,FW,West Ham,34-264,1990,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2
22,Antony,BRA,"FW,MF",Manchester Utd,24-297,2000,0.6,0,3,2,66.7,5.09,3.40,0.00,0.00,18.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
23,Julian Araujo,MEX,DF,Bournemouth,23-126,2001,3.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
24,Cameron Archer,ENG,FW,Southampton,23-149,2001,9.5,2,20,6,30.0,2.11,0.63,0.10,0.33,12.3,0,0,1,4.4,3.6,0.18,-2.4,-1.6
25,Alphonse Areola,FRA,GK,West Ham,31-294,1993,7.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
26,Joe Aribo,NGA,MF,Southampton,28-149,1996,10.0,2,11,6,54.5,1.10,0.60,0.18,0.33,13.2,0,0,0,2.2,2.2,0.20,-0.2,-0.2
27,Adam Armstrong,ENG,"FW,MF",Southampton,27-311,1997,9.5,2,18,5,27.8,1.90,0.53,0.11,0.40,16.2,0,0,1,2.9,2.0,0.11,-0.9,0.0
28,Harrison Armstrong,ENG,MF,Everton,17-333,2007,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
29,Kepa Arrizabalaga,ESP,GK,Bournemouth,30-075,1994,11.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
30,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27-127,1997,2.3,0,4,1,25.0,1.76,0.44,0.00,0.00,13.7,0,0,0,0.4,0.4,0.11,-0.4,-0.4
31,Yasin Ayari,SWE,MF,Brighton,21-072,2003,8.9,0,11,3,27.3,1.24,0.34,0.00,0.00,20.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9
32,Jordan Ayew,GHA,"FW,MF",Crystal Palace,33-097,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,0,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5
33,Jordan Ayew,GHA,"FW,MF",Leicester City,33-097,1991,7.3,3,15,4,26.7,2.05,0.55,0.13,0.50,17.6,1,1,1,2.1,1.3,0.09,+0.9,+0.7
34,Benoît Badiashile,FRA,DF,Chelsea,23-266,2001,2.8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
35,Leon Bailey,JAM,"FW,MF",Aston Villa,27-130,1997,8.1,0,11,2,18.2,1.35,0.25,0.00,0.00,17.4,1,0,0,0.6,0.6,0.05,-0.6,-0.6
36,Carlos Baleba,CMR,MF,Brighton,20-349,2004,10.0,2,20,6,30.0,2.01,0.60,0.10,0.33,24.8,0,0,0,1.0,1.0,0.05,+1.0,+1.0
37,Ross Barkley,ENG,MF,Aston Villa,31-012,1993,5.0,2,12,3,25.0,2.41,0.60,0.17,0.67,13.0,0,0,0,1.5,1.5,0.13,+0.5,+0.5
38,Harvey Barnes,ENG,FW,Newcastle Utd,27-008,1997,8.0,5,25,9,36.0,3.11,1.12,0.20,0.56,15.3,0,0,0,2.6,2.6,0.11,+2.4,+2.4
39,Calvin Bassey,NGA,DF,Fulham,24-352,1999,15.0,0,7,2,28.6,0.47,0.13,0.00,0.00,20.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
40,Jan Bednarek,POL,DF,Southampton,28-249,1996,11.9,0,1,0,0.0,0.08,0.00,0.00,0,42.3,0,0,0,0.0,0.0,0.01,0.0,0.0
41,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26-173,1998,8.1,1,9,2,22.2,1.12,0.25,0.11,0.50,22.0,1,0,0,0.6,0.6,0.07,+0.4,+0.4
42,Rodrigo Bentancur,URU,MF,Tottenham,27-175,1997,5.9,1,11,2,18.2,1.85,0.34,0.09,0.50,20.5,0,0,0,0.7,0.7,0.06,+0.3,+0.3
43,Sander Berge,NOR,MF,Fulham,26-307,1998,9.8,0,1,0,0.0,0.10,0.00,0.00,0,6.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1
44,Lucas Bergvall,SWE,MF,Tottenham,18-319,2006,1.9,0,2,0,0.0,1.05,0.00,0.00,0,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
45,Victor Bernth Kristiansen,DEN,DF,Leicester City,22-001,2002,13.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
46,Beto,GNB,FW,Everton,26-321,1998,2.1,1,10,3,30.0,4.81,1.44,0.10,0.33,11.4,0,0,0,1.6,1.6,0.16,-0.6,-0.6
47,Philip Billing,DEN,MF,Bournemouth,28-189,1996,0.8,0,2,0,0.0,2.54,0.00,0.00,0,21.0,0,0,0,0.3,0.3,0.17,-0.3,-0.3
48,Yves Bissouma,MLI,MF,Tottenham,28-109,1996,8.2,2,4,2,50.0,0.49,0.24,0.50,1.00,23.1,0,0,0,0.3,0.3,0.08,+1.7,+1.7
49,Lamare Bogarde,NED,DF,Aston Villa,20-347,2004,2.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
50,Willy Boly,CIV,DF,Nott'ham Forest,33-318,1991,1.0,0,1,1,100.0,0.98,0.98,0.00,0.00,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
51,Jarrod Bowen,ENG,"FW,MF",West Ham,27-363,1996,15.7,4,39,17,43.6,2.48,1.08,0.08,0.18,19.9,0,1,1,3.2,2.5,0.06,+0.8,+0.5
52,Conor Bradley,NIR,DF,Liverpool,21-161,2003,2.6,0,5,2,40.0,1.91,0.76,0.00,0.00,14.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4
53,Jarrad Branthwaite,ENG,DF,Everton,22-173,2002,6.1,0,1,0,0.0,0.16,0.00,0.00,0,14.8,0,0,0,0.0,0.0,0.03,0.0,0.0
54,James Bree,ENG,DF,Southampton,27-067,1997,1.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
55,Ben Brereton,CHI,FW,Southampton,25-243,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9
56,Nathan Broadhead,WAL,"FW,MF",Ipswich Town,26-256,1998,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
57,Armando Broja,ALB,FW,Everton,23-098,2001,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
58,David Brooks,WAL,"FW,MF",Bournemouth,27-162,1997,1.9,1,7,2,28.6,3.62,1.03,0.14,0.50,18.7,0,0,0,0.5,0.5,0.08,+0.5,+0.5
59,Emi Buendía,ARG,"MF,FW",Aston Villa,27-358,1996,0.5,0,1,0,0.0,2.09,0.00,0.00,0,20.4,1,0,0,0.1,0.1,0.09,-0.1,-0.1
60,Santiago Bueno,URU,DF,Wolves,26-038,1998,7.8,0,1,1,100.0,0.13,0.13,0.00,0.00,9.0,0,0,0,0.2,0.2,0.21,-0.2,-0.2
61,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19-360,2004,10.2,4,22,9,40.9,2.16,0.89,0.18,0.44,17.3,0,0,0,3.2,3.2,0.14,+0.8,+0.8
62,Cameron Burgess,AUS,DF,Ipswich Town,29-057,1995,8.0,0,8,1,12.5,1.00,0.12,0.00,0.00,9.8,0,0,0,0.6,0.6,0.07,-0.6,-0.6
63,Dan Burn,ENG,DF,Newcastle Utd,32-222,1992,15.0,0,10,3,30.0,0.67,0.20,0.00,0.00,11.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7
64,Wes Burns,WAL,FW,Ipswich Town,30-024,1994,7.3,0,5,1,20.0,0.69,0.14,0.00,0.00,19.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3
65,Moisés Caicedo,ECU,"MF,DF",Chelsea,23-045,2001,15.7,1,9,2,22.2,0.57,0.13,0.11,0.50,24.7,0,0,0,0.4,0.4,0.04,+0.6,+0.6
66,Tom Cairney,SCO,MF,Fulham,33-332,1991,2.0,1,1,1,100.0,0.51,0.51,1.00,1.00,17.8,0,0,0,0.0,0.0,0.03,+1.0,+1.0
67,Jens Cajuste,SWE,MF,Ipswich Town,25-129,1999,6.1,0,2,0,0.0,0.33,0.00,0.00,0,23.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
68,Riccardo Calafiori,ITA,DF,Arsenal,22-212,2002,5.6,1,5,4,80.0,0.89,0.71,0.20,0.25,12.6,0,0,0,0.5,0.5,0.11,+0.5,+0.5
69,Dominic Calvert-Lewin,ENG,FW,Everton,27-276,1997,12.9,2,34,14,41.2,2.64,1.09,0.06,0.14,12.8,0,0,0,4.4,4.4,0.13,-2.4,-2.4
70,Diego Carlos,BRA,DF,Aston Villa,31-277,1993,8.2,0,4,1,25.0,0.49,0.12,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6
71,Fabio Carvalho,POR,"FW,MF",Brentford,22-109,2002,4.7,1,10,4,40.0,2.15,0.86,0.10,0.25,16.1,0,0,0,2.1,2.1,0.21,-1.1,-1.1
72,Casemiro,BRA,MF,Manchester Utd,32-298,1992,8.3,1,15,4,26.7,1.81,0.48,0.07,0.25,19.0,0,0,0,1.0,1.0,0.06,0.0,0.0
73,Kaelan Casey,ENG,DF,West Ham,20-050,2004,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
74,Matty Cash,POL,"DF,FW",Aston Villa,27-132,1997,8.2,1,3,2,66.7,0.36,0.24,0.33,0.50,17.0,0,0,0,0.1,0.1,0.03,+0.9,+0.9
75,Timothy Castagne,BEL,DF,Fulham,29-012,1995,2.0,0,2,1,50.0,0.98,0.49,0.00,0.00,20.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
76,Trevoh Chalobah,ENG,DF,Crystal Palace,25-165,1999,9.8,2,8,3,37.5,0.82,0.31,0.25,0.67,16.0,0,0,0,0.9,0.9,0.11,+1.1,+1.1
77,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27-305,1997,6.1,1,12,3,25.0,1.95,0.49,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2
78,Federico Chiesa,ITA,FW,Liverpool,27-053,1997,0.2,0,2,1,50.0,9.47,4.74,0.00,0.00,21.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
79,Chiquinho,POR,MF,Wolves,24-316,2000,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
80,Hamza Choudhury,ENG,MF,Leicester City,27-077,1997,0.8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
81,Ryan Christie,SCO,MF,Bournemouth,29-299,1995,11.6,1,16,6,37.5,1.38,0.52,0.06,0.17,20.7,0,0,0,0.8,0.8,0.05,+0.2,+0.2
82,Harry Clarke,ENG,DF,Ipswich Town,23-290,2001,3.2,0,1,1,100.0,0.31,0.31,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
83,Jack Clarke,ENG,FW,Ipswich Town,24-024,2000,5.6,0,10,1,10.0,1.79,0.18,0.00,0.00,18.5,0,0,0,0.8,0.8,0.08,-0.8,-0.8
84,Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33-256,1991,3.4,0,1,0,0.0,0.30,0.00,0.00,0,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0
85,Conor Coady,ENG,DF,Leicester City,31-296,1993,4.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
86,Séamus Coleman,IRL,DF,Everton,36-067,1988,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6
87,Nathan Collins,IRL,DF,Brentford,23-231,2001,16.0,2,10,5,50.0,0.62,0.31,0.20,0.40,8.6,0,0,0,2.0,2.0,0.20,0.0,0.0
88,Toby Collyer,ENG,MF,Manchester Utd,20-349,2004,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
89,Levi Colwill,ENG,DF,Chelsea,21-295,2003,15.0,0,4,1,25.0,0.27,0.07,0.00,0.00,7.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4
90,Lewis Cook,ENG,MF,Bournemouth,27-318,1997,14.1,1,9,2,22.2,0.64,0.14,0.11,0.50,24.1,1,0,0,0.6,0.6,0.06,+0.4,+0.4
91,Maxwel Cornet,CIV,FW,Southampton,28-081,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,0,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2
92,Vladimír Coufal,CZE,DF,West Ham,32-117,1992,4.6,0,3,0,0.0,0.65,0.00,0.00,0,16.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2
93,Aaron Cresswell,ENG,DF,West Ham,35-002,1989,0.4,0,1,0,0.0,2.81,0.00,0.00,0,31.6,1,0,0,0.0,0.0,0.03,0.0,0.0
94,Marc Cucurella,ESP,DF,Chelsea,26-148,1998,13.0,1,3,1,33.3,0.23,0.08,0.33,1.00,20.8,0,0,0,0.2,0.2,0.06,+0.8,+0.8
95,Jorge Cuenca,ESP,DF,Fulham,25-030,1999,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
96,Matheus Cunha,BRA,"MF,FW",Wolves,25-204,1999,14.8,8,46,18,39.1,3.10,1.21,0.17,0.44,19.3,2,0,0,3.8,3.8,0.08,+4.2,+4.2
97,Patson Daka,ZAM,"FW,MF",Leicester City,26-069,1998,1.2,1,3,1,33.3,2.41,0.80,0.33,1.00,17.8,0,0,0,0.2,0.2,0.07,+0.8,+0.8
98,Diogo Dalot,POR,DF,Manchester Utd,25-274,1999,15.6,0,9,3,33.3,0.58,0.19,0.00,0.00,19.1,0,0,0,0.9,0.9,0.09,-0.9,-0.9
99,Mikkel Damsgaard,DEN,"MF,FW",Brentford,24-167,2000,12.2,2,15,5,33.3,1.23,0.41,0.13,0.40,15.1,2,0,0,1.5,1.5,0.10,+0.5,+0.5
100,Danilo,BRA,MF,Nott'ham Forest,23-232,2001,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
101,Ben Davies,WAL,DF,Tottenham,31-237,1993,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
102,Leif Davis,ENG,DF,Ipswich Town,24-340,2000,16.0,1,10,2,20.0,0.62,0.12,0.10,0.50,19.1,1,0,0,0.6,0.6,0.06,+0.4,+0.4
103,Craig Dawson,ENG,DF,Wolves,34-225,1990,9.8,0,4,1,25.0,0.41,0.10,0.00,0.00,8.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
104,Kevin De Bruyne,BEL,MF,Manchester City,33-172,1991,7.0,2,25,7,28.0,3.59,1.00,0.08,0.29,22.7,3,0,0,2.1,2.1,0.08,-0.1,-0.1
105,Liam Delap,ENG,FW,Ipswich Town,21-313,2003,13.2,6,28,12,42.9,2.12,0.91,0.21,0.50,14.6,0,0,0,4.4,4.4,0.16,+1.6,+1.6
106,Sepp van den Berg,NED,DF,Brentford,22-363,2001,13.0,0,8,3,37.5,0.61,0.23,0.00,0.00,11.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6
107,Justin Devenny,NIR,MF,Crystal Palace,21-067,2003,2.3,1,4,1,25.0,1.74,0.43,0.25,1.00,18.7,1,0,0,0.5,0.5,0.11,+0.5,+0.5
108,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,26-102,1998,0.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
109,Amad Diallo,CIV,"FW,DF",Manchester Utd,22-159,2002,9.8,2,24,8,33.3,2.44,0.81,0.08,0.25,18.7,0,0,0,2.0,2.0,0.08,0.0,0.0
110,Rúben Dias,POR,DF,Manchester City,27-217,1997,12.1,0,13,3,23.1,1.08,0.25,0.00,0.00,20.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1
111,Luis Díaz,COL,FW,Liverpool,27-339,1997,9.8,5,24,10,41.7,2.45,1.02,0.21,0.50,13.1,0,0,0,3.6,3.6,0.15,+1.4,+1.4
112,Tyler Dibling,ENG,"MF,FW",Southampton,18-280,2006,10.3,1,15,6,40.0,1.45,0.58,0.07,0.17,21.9,0,0,0,1.1,1.1,0.07,-0.1,-0.1
113,Lucas Digne,FRA,DF,Aston Villa,31-150,1993,12.9,0,7,2,28.6,0.54,0.15,0.00,0.00,19.6,2,0,0,0.5,0.5,0.08,-0.5,-0.5
114,Issa Diop,FRA,DF,Fulham,27-343,1997,8.4,0,5,2,40.0,0.60,0.24,0.00,0.00,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
115,Axel Disasi,FRA,DF,Chelsea,26-281,1998,2.0,1,1,1,100.0,0.49,0.49,1.00,1.00,2.9,0,0,0,0.2,0.2,0.25,+0.8,+0.8
116,Roman Dixon,ENG,DF,Everton,19-357,2004,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
117,Matt Doherty,IRL,DF,Wolves,32-336,1992,4.9,1,6,1,16.7,1.22,0.20,0.17,1.00,12.9,0,0,0,0.5,0.5,0.08,+0.5,+0.5
118,Jeremy Doku,BEL,"FW,MF",Manchester City,22-204,2002,6.9,2,15,4,26.7,2.18,0.58,0.13,0.50,18.8,0,0,0,0.7,0.7,0.05,+1.3,+1.3
119,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,26-172,1998,8.7,0,11,4,36.4,1.27,0.46,0.00,0.00,16.1,0,0,0,1.2,1.2,0.11,-1.2,-1.2
120,Alfie Dorrington,ENG,DF,Tottenham,19-241,2005,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
121,Abdoulaye Doucouré,MLI,MF,Everton,31-351,1993,10.9,0,7,1,14.3,0.64,0.09,0.00,0.00,16.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6
